,PG.ProteinAccessions,Normal.blood,PDAC
1,A0A024R1R8;Q9Y2S6,1,2
2,A0A075B6H7,1,2
3,A0A075B6H9,1,2
4,A0A075B6I0,1,2
5,A0A075B6I9,1,2
6,A0A075B6J2,NA,2
7,A0A075B6J9,1,2
8,A0A075B6K0,1,2
9,A0A075B6K4,1,2
10,A0A075B6K5,1,2
11,A0A075B6P5;P01615,1,2
12,A0A075B6Q5,1,2
13,A0A075B6R2,1,2
14,A0A075B6R9;A0A0C4DH68,1,2
15,A0A075B6S2,1,2
16,A0A075B6S5,1,2
17,A0A075B6S6,1,2
18,A0A075B6S9;P0DSN7,1,2
19,A0A087WSX0,1,2
20,A0A087WSY6,1,2
21,A0A087WW87;P01614,1,2
22,A0A0A0MS15,1,2
23,A0A0B4J1U3,1,2
24,A0A0B4J1U7,1,2
25,A0A0B4J1V0,1,2
26,A0A0B4J1V1,1,2
27,A0A0B4J1V2,1,2
28,A0A0B4J1V6,1,2
29,A0A0B4J1X5,1,2
30,A0A0B4J1X8,1,2
31,A0A0B4J1Y8,1,2
32,A0A0B4J1Y9,1,2
33,A0A0B4J262,NA,2
34,A0A0B4J2D5;P0DPI2,1,2
35,A0A0B4J2D9;P0DP09,1,2
36,A0A0B4J2F0,NA,2
37,A0A0B4J2H0,1,2
38,A0A0C4DH24,1,2
39,A0A0C4DH25,1,2
40,A0A0C4DH29,1,2
41,A0A0C4DH31,1,2
42,A0A0C4DH32,1,2
43,A0A0C4DH33,1,2
44,A0A0C4DH34,1,2
45,A0A0C4DH35,1,2
46,A0A0C4DH36,1,2
47,A0A0C4DH38,1,2
48,A0A0C4DH43,1,2
49,A0A0C4DH67,1,2
50,A0A0C4DH72,NA,2
51,A0A0C4DH73;P01611,1,2
52,A0A0J9YX35,1,2
53,A0A0J9YXX1,1,2
54,A0A1W2PPF3,1,2
55,A0AV96,1,2
56,A0AVT1,1,2
57,A0FGR8,1,2
58,A0JLT2,NA,2
59,A0PJW6,1,2
60,A1A4S6,1,2
61,A1A5C7,1,2
62,A1IGU5,1,2
63,A1L0T0,1,2
64,A1L390,1,2
65,A1L3X0,1,2
66,A1L4H1,1,2
67,A1X283,1,2
68,A2NJV5,1,2
69,A2RRP1,1,2
70,A2RTX5,1,2
71,A2RUC4,1,2
72,A2RUS2,1,2
73,A3KMH1,1,2
74,A3KN83,1,2
75,A4D126,1,2
76,A4D1B5,1,2
77,A4D1E9,NA,2
78,A4D1P6,1,2
79,A4D1S5,NA,2
80,A4D2B0,1,2
81,A4FU69,1,2
82,A5A3E0,1,2
83,A5D8V6,1,2
84,A5PLN7,1,2
85,A5PLN9,1,2
86,A5YKK6,1,2
87,A6NC98,1,2
88,A6NDG6,1,2
89,A6NDU8,1,2
90,A6NFD8,1,2
91,A6NFQ2,1,2
92,A6NFX1,1,2
93,A6NHR9,1,2
94,A6NI73,1,2
95,A6NIH7,1,2
96,A6NKF1,1,2
97,A6NMZ7,1,2
98,A6QL63,1,2
99,A7E2V4,1,2
100,A7KAX9,1,2
101,A8CG34,NA,2
102,A8MPS7,1,2
103,A8MUX0,NA,2
104,A8MV81,NA,2
105,A8MVS5,NA,2
106,A8MW92,NA,2
107,A8MWD9;P62308,1,2
108,A8MXV4,1,2
109,A8MYA2,NA,2
110,B0I1T2,1,2
111,B1AK53,1,2
112,B2RTY4,NA,2
113,B2RUZ4,1,2
114,B5ME19;Q99613,1,2
115,B6A8C7,NA,2
116,B7ZAP0,1,2
117,B7ZAQ6;P0CG08,1,2
118,B9A064;P0DOX8,1,2
119,B9EJG8,1,2
120,C4AMC7;Q6VEQ5,1,2
121,C9J069,1,2
122,C9J7I0,1,2
123,E9PAV3,1,2
124,E9PRG8,1,2
125,F2Z333,NA,2
126,G2XKQ0,1,2
127,G9CGD6,1,2
128,L0R6Q1,1,2
129,O00116,1,2
130,O00139,1,2
131,O00142,1,2
132,O00148,1,2
133,O00151,1,2
134,O00154,1,2
135,O00159,1,2
136,O00160,1,2
137,O00161,1,2
138,O00170,1,2
139,O00175,1,2
140,O00178,1,2
141,O00182,1,2
142,O00186,1,2
143,O00187,1,2
144,O00189,1,2
145,O00194,1,2
146,O00203,1,2
147,O00214,1,2
148,O00217,1,2
149,O00231,1,2
150,O00232,1,2
151,O00233,1,2
152,O00241,1,2
153,O00244,1,2
154,O00258,1,2
155,O00264,1,2
156,O00267,1,2
157,O00268,NA,2
158,O00273,1,2
159,O00287,1,2
160,O00291,NA,2
161,O00299,1,2
162,O00303,1,2
163,O00308,1,2
164,O00329,1,2
165,O00330,1,2
166,O00391,1,2
167,O00399,1,2
168,O00400,1,2
169,O00401,1,2
170,O00410,1,2
171,O00421,1,2
172,O00422,1,2
173,O00425,1,2
174,O00429,1,2
175,O00442,1,2
176,O00443,1,2
177,O00453,1,2
178,O00458,1,2
179,O00459,1,2
180,O00461,1,2
181,O00462,1,2
182,O00469,1,2
183,O00471,1,2
184,O00478,NA,2
185,O00479,1,2
186,O00483,1,2
187,O00487,1,2
188,O00501,1,2
189,O00505,1,2
190,O00506,1,2
191,O00519,NA,2
192,O00522,1,2
193,O00534,1,2
194,O00541,1,2
195,O00559,NA,2
196,O00560,1,2
197,O00562,1,2
198,O00566,1,2
199,O00567,1,2
200,O00571,1,2
201,O00584,1,2
202,O00585,1,2
203,O00592,1,2
204,O00602,1,2
205,O00622,1,2
206,O00625,1,2
207,O00629,1,2
208,O00635,NA,2
209,O00716,1,2
210,O00743,1,2
211,O00746,1,2
212,O00754,1,2
213,O00763,1,2
214,O00764,1,2
215,O14497,1,2
216,O14498,1,2
217,O14521,1,2
218,O14523,1,2
219,O14526,1,2
220,O14530,1,2
221,O14543,NA,2
222,O14545,1,2
223,O14548,1,2
224,O14561,1,2
225,O14569,1,2
226,O14578,1,2
227,O14579,1,2
228,O14602,1,2
229,O14607,1,2
230,O14617,1,2
231,O14618,1,2
232,O14625,1,2
233,O14639,1,2
234,O14646,1,2
235,O14647,1,2
236,O14653,1,2
237,O14656,1,2
238,O14657,1,2
239,O14662,1,2
240,O14672,1,2
241,O14681,1,2
242,O14683,NA,2
243,O14686,1,2
244,O14727,1,2
245,O14730,1,2
246,O14732,1,2
247,O14733,1,2
248,O14734,1,2
249,O14735,1,2
250,O14737,1,2
251,O14744,1,2
252,O14745,1,2
253,O14772,1,2
254,O14773,1,2
255,O14775,1,2
256,O14776,1,2
257,O14777,1,2
258,O14782,1,2
259,O14786,1,2
260,O14787,1,2
261,O14791,1,2
262,O14798,NA,2
263,O14818,1,2
264,O14828,1,2
265,O14830,1,2
266,O14841,1,2
267,O14862,NA,2
268,O14867,1,2
269,O14874,1,2
270,O14879,1,2
271,O14880,1,2
272,O14893,NA,2
273,O14908,1,2
274,O14920,1,2
275,O14925;Q5SRD1,1,2
276,O14929,NA,2
277,O14949,1,2
278,O14950;P19105,1,2
279,O14957,1,2
280,O14960,1,2
281,O14964,1,2
282,O14966,NA,2
283,O14967,NA,2
284,O14972,1,2
285,O14974,1,2
286,O14975,1,2
287,O14976,1,2
288,O14979,1,2
289,O14980,1,2
290,O14981,1,2
291,O14983,1,2
292,O14986,1,2
293,O15013,1,2
294,O15015,1,2
295,O15027,1,2
296,O15031,1,2
297,O15037,1,2
298,O15042,1,2
299,O15047,NA,2
300,O15050,1,2
301,O15054,NA,2
302,O15066,1,2
303,O15067,1,2
304,O15068,1,2
305,O15084,1,2
306,O15111,1,2
307,O15116,1,2
308,O15117,1,2
309,O15118,NA,2
310,O15120,1,2
311,O15121,1,2
312,O15126,1,2
313,O15127,1,2
314,O15131,NA,2
315,O15143,1,2
316,O15144,1,2
317,O15145,1,2
318,O15155,1,2
319,O15156,NA,2
320,O15160,1,2
321,O15162,1,2
322,O15164,NA,2
323,O15169,1,2
324,O15173,1,2
325,O15194,1,2
326,O15204,1,2
327,O15211,1,2
328,O15212,1,2
329,O15213,1,2
330,O15226,1,2
331,O15228,1,2
332,O15230,1,2
333,O15231,1,2
334,O15235,NA,2
335,O15239,NA,2
336,O15243,1,2
337,O15247,1,2
338,O15254,1,2
339,O15258,1,2
340,O15260,1,2
341,O15269,1,2
342,O15270,1,2
343,O15294,1,2
344,O15305,1,2
345,O15321,1,2
346,O15327,1,2
347,O15347,1,2
348,O15355,1,2
349,O15357,1,2
350,O15371,1,2
351,O15372,1,2
352,O15379,NA,2
353,O15381,1,2
354,O15382,1,2
355,O15389,NA,2
356,O15397,1,2
357,O15400,1,2
358,O15427,1,2
359,O15431,NA,2
360,O15438,1,2
361,O15439,1,2
362,O15440,1,2
363,O15446,1,2
364,O15484,1,2
365,O15498,1,2
366,O15511,1,2
367,O15523,1,2
368,O15525,1,2
369,O15530,1,2
370,O15533,1,2
371,O15534,1,2
372,O15541,1,2
373,O15550,NA,2
374,O15551,1,2
375,O15552,NA,2
376,O15553,1,2
377,O15554,1,2
378,O43143,1,2
379,O43147,1,2
380,O43149,1,2
381,O43150,1,2
382,O43156,1,2
383,O43159,1,2
384,O43166,1,2
385,O43169,1,2
386,O43172,NA,2
387,O43175,1,2
388,O43181,1,2
389,O43182,1,2
390,O43189,1,2
391,O43236,1,2
392,O43237,1,2
393,O43242,1,2
394,O43252,1,2
395,O43255,NA,2
396,O43264,1,2
397,O43290,1,2
398,O43291,1,2
399,O43292,1,2
400,O43294,1,2
401,O43299,1,2
402,O43304,1,2
403,O43306,1,2
404,O43310,1,2
405,O43312,1,2
406,O43314,1,2
407,O43315,1,2
408,O43318,1,2
409,O43324,1,2
410,O43353,1,2
411,O43390,1,2
412,O43395,1,2
413,O43396,1,2
414,O43399,1,2
415,O43402,1,2
416,O43414,1,2
417,O43426,1,2
418,O43427,1,2
419,O43432,1,2
420,O43447,1,2
421,O43451,1,2
422,O43464,1,2
423,O43488,1,2
424,O43491,1,2
425,O43493,1,2
426,O43504,1,2
427,O43513,NA,2
428,O43516,1,2
429,O43520,NA,2
430,O43557,1,2
431,O43561,1,2
432,O43566,1,2
433,O43567,1,2
434,O43572,1,2
435,O43583,1,2
436,O43586,1,2
437,O43592,1,2
438,O43598,1,2
439,O43615,1,2
440,O43617,1,2
441,O43633,1,2
442,O43639,1,2
443,O43660,1,2
444,O43665,1,2
445,O43670,1,2
446,O43674,1,2
447,O43676,1,2
448,O43677,1,2
449,O43678,1,2
450,O43681,1,2
451,O43684,1,2
452,O43704,1,2
453,O43707,1,2
454,O43708,1,2
455,O43719,1,2
456,O43741,1,2
457,O43747,1,2
458,O43752,1,2
459,O43759,1,2
460,O43760,1,2
461,O43765,1,2
462,O43772,1,2
463,O43776,1,2
464,O43790,NA,2
465,O43805,1,2
466,O43808,1,2
467,O43809,1,2
468,O43813,1,2
469,O43815,1,2
470,O43818,NA,2
471,O43820,1,2
472,O43822,NA,2
473,O43823,NA,2
474,O43824,1,2
475,O43826,1,2
476,O43829,NA,2
477,O43837,1,2
478,O43847,1,2
479,O43852,1,2
480,O43861,1,2
481,O43865,1,2
482,O43866,1,2
483,O43896,1,2
484,O43913,1,2
485,O43914,1,2
486,O43920,1,2
487,O43924,1,2
488,O43929,1,2
489,O60216,1,2
490,O60220,1,2
491,O60229,1,2
492,O60231,1,2
493,O60232,1,2
494,O60234,1,2
495,O60238,1,2
496,O60240,1,2
497,O60244,1,2
498,O60256,1,2
499,O60262,1,2
500,O60264,1,2
501,O60268,1,2
502,O60271,1,2
503,O60281,1,2
504,O60293,1,2
505,O60294,1,2
506,O60296,1,2
507,O60306,1,2
508,O60307,1,2
509,O60313,1,2
510,O60315,1,2
511,O60318,NA,2
512,O60331,1,2
513,O60333,1,2
514,O60341,1,2
515,O60381,NA,2
516,O60449,1,2
517,O60462,1,2
518,O60486,1,2
519,O60488,1,2
520,O60493,1,2
521,O60494,NA,2
522,O60496,1,2
523,O60499,1,2
524,O60502,1,2
525,O60506,1,2
526,O60508,1,2
527,O60518,1,2
528,O60524,1,2
529,O60547,1,2
530,O60551,1,2
531,O60568,1,2
532,O60573,1,2
533,O60603,1,2
534,O60610,1,2
535,O60613,1,2
536,O60636,1,2
537,O60645,1,2
538,O60664,1,2
539,O60667,1,2
540,O60669,1,2
541,O60674,1,2
542,O60675,1,2
543,O60678,1,2
544,O60684,1,2
545,O60701,1,2
546,O60704,1,2
547,O60711,1,2
548,O60716,1,2
549,O60725,1,2
550,O60733,1,2
551,O60739,1,2
552,O60749,1,2
553,O60762,1,2
554,O60763,1,2
555,O60783,NA,2
556,O60784,1,2
557,O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,NA,2
558,O60825,1,2
559,O60826,1,2
560,O60828,1,2
561,O60830,1,2
562,O60831,1,2
563,O60832,1,2
564,O60841,1,2
565,O60861,1,2
566,O60870,NA,2
567,O60879,1,2
568,O60884,1,2
569,O60885,1,2
570,O60888,1,2
571,O60890,1,2
572,O60906,1,2
573,O60907,NA,2
574,O60921,1,2
575,O60925,1,2
576,O60934,1,2
577,O60942,1,2
578,O75015,1,2
579,O75022,NA,2
580,O75027,1,2
581,O75037,1,2
582,O75044,1,2
583,O75061,1,2
584,O75063,1,2
585,O75064,1,2
586,O75069,1,2
587,O75083,1,2
