PG.ProteinAccessions,Serum,WB,Plasma
A0A024R1R8;Q9Y2S6,1,2,3
A0A075B6H9,1,2,3
A0A075B6I0,1,2,3
A0A075B6I9,1,NA,3
A0A075B6J9,1,2,3
A0A075B6K4,1,2,3
A0A075B6P5;A0A075B6S6;A0A087WW87;P01614;P01615;P06310,1,NA,NA
A0A075B6Q5,1,2,3
A0A075B6R2,1,NA,3
A0A075B6R9;A0A0C4DH68,1,2,3
A0A087WSX0,1,NA,3
A0A087WSY4,1,NA,3
A0A087WSY6,1,2,3
A0A096LNW5;P0DPK3;P0DPK4;Q04721;Q7Z3S9,1,NA,NA
A0A096LP49,1,NA,3
A0A0A0MRZ8;P04433,1,2,3
A0A0A0MS15,1,2,3
A0A0B4J1V0,1,2,3
A0A0B4J1V2,1,NA,3
A0A0B4J1V6,1,2,3
A0A0B4J1X5,1,2,3
A0A0B4J1X8,1,2,3
A0A0B4J2D9;P0DP09,1,2,3
A0A0C4DH24,1,2,3
A0A0C4DH25,1,2,3
A0A0C4DH29,1,NA,3
A0A0C4DH31,1,2,3
A0A0C4DH33,1,NA,3
A0A0C4DH34,1,2,3
A0A0C4DH35,1,2,3
A0A0C4DH36,1,2,3
A0A0C4DH38,1,2,3
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08,1,2,3
A0A0C4DH67,1,NA,3
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432,1,2,NA
A0A0J9YX35,1,2,3
A0A0J9YXX1,1,NA,3
A0A1B0GTC6,1,2,3
A0FGR8,1,2,3
A1A4S6,1,2,3
A1L4H1,1,NA,3
A4D1P6,1,2,3
A5YKK6,1,2,3
A6NDG6,1,2,3
A6NDU8,1,2,3
A6NFA1,1,NA,3
A6NH11,1,NA,3
A6NIH7;Q13432,1,NA,NA
A6QL64;Q5JPF3;Q8N2N9,1,NA,NA
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5,1,NA,NA
A8MU46,1,NA,NA
A8MWD9;P62308,1,2,3
B0I1T2,1,2,3
B1AKI9,1,NA,NA
B2RUZ4,1,2,3
B9A064;P0DOX8,1,NA,3
C9J7I0,1,2,3
E9PAV3,1,2,3
G9CGD6;Q8WWN9,1,NA,3
O00116,1,2,3
O00139,1,2,3
O00142,1,2,3
O00148,1,2,NA
O00151,1,2,3
O00154,1,2,3
O00159,1,2,3
O00160,1,2,3
O00161,1,2,3
O00175,1,2,3
O00178,1,2,3
O00186,1,2,3
O00187,1,2,3
O00194,1,2,3
O00203,1,2,3
O00214,1,2,3
O00231,1,2,3
O00232,1,2,3
O00233,1,2,3
O00244,1,2,3
O00264,1,2,3
O00299,1,2,3
O00303,1,2,3
O00339,1,NA,3
O00391,1,2,3
O00401,1,2,3
O00410,1,2,3
O00429,1,2,3
O00442,1,2,3
O00451,1,NA,3
O00461,1,2,3
O00468,1,2,3
