PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.OrganismId,[1] EV_071A_R1_S2-A1_1_9412.d.PG.Quantity,[2] EV_071A_R2_S2-A2_1_9413.d.PG.Quantity,[3] EV_071A_R3_S2-A3_1_9414.d.PG.Quantity,[4] EV_071A_R4_S2-A4_1_9415.d.PG.Quantity
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,TMA7B_HUMAN;TMA7_HUMAN,9606,17.47349548,14.62967491,4.158350468,15.966959
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,9606,329.0928345,416.4009094,439.4493408,778.4394531
A0A075B6I9,IGLV7-46,Immunoglobulin lambda variable 7-46,LV746_HUMAN,9606,166.337677,209.6575317,140.665741,172.6169128
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,9606,246.8858032,312.7507019,224.3880768,451.8311768
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,9606,296.5623779,479.7261658,283.5044861,661.696228
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,9606,426.3847961,688.6581421,354.4536133,660.338562
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,9606,784.2366943,1688.179443,616.1570435,1404.731201
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,HV364_HUMAN,9606,92.18032074,132.1735535,40.34873199,111.1547165
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,9606,111.5384674,104.8181,122.0437393,140.1902313
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,KVD24_HUMAN;KV224_HUMAN,9606,630.8555908,1388.729614,601.7901611,1451.306519
A0A075B6S2;A2NJV5,IGKV2D-29;IGKV2-29,Immunoglobulin kappa variable 2D-29;Immunoglobulin kappa variable 2-29,KVD29_HUMAN;KV229_HUMAN,9606,10.36568546,26.00742722,16.85424423,31.65821457
